date,Thực Phẩm Chế Biến Khác,Bánh mì,Xúc xích - Thịt Nguội,Kim chi,Bánh bao,Rong Biển - Tảo Biển,Bột Các Loại,Thực Phẩm Đóng Hộp,Thực Phẩm Chay,Mì,Trứng,Đậu hũ,Thực Phẩm Đông Lạnh Khác,Cá - Bò Viên,Chả Giò,Hải Sản Đông Lạnh,Thịt Đông Lạnh,Sữa tươi,Sữa Hạt - Sữa Đậu,Bơ Sữa - Phô Mai,Sữa Chua - Váng Sữa,Sữa đặc,Sữa Bột,Sữa Bột - Sữa Dinh Dưỡng,Trái cây tươi,"Củ, Quả",Rau Lá,Cháo,Miến - Hủ Tíu - Bánh Canh,Phở - Bún,Bánh Xốp - Bánh Quy,Kẹo - Chocolate,Bánh Snack,Hạt - Trái Cây Sấy Khô,other_food_average
2025-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18,0.9919948260877587,1.0265141875299553,1.0168791069263343,1.0,1.0,0.9776440526280136,1.058622216947194,0.9882576821539956,,1.0,,,0.9330639809520033,,0.9206344747112295,0.9495722629049058,,0.9949590131791722,1.0251905207609948,1.0370743352649576,1.0054054181456578,1.0151767046563807,1.0281402480415043,1.0152471297146635,0.9449835293884469,0.9491591702089283,0.8210941770972284,,,,,,,,0.9863460471499693
2026-01-19,,,,,,1.0178598411002602,1.0426640765944672,1.0201929509729128,1.0,1.0,0.9844879070518214,0.9665681526678523,1.025602386305279,1.027670770137442,0.9867579020403149,1.0105985436886373,1.0,,,,,,,1.0195264295507902,,,,,,,,,,,1.0078406892392135
