date,Thực Phẩm Chế Biến Khác,Bánh mì,Xúc xích - Thịt Nguội,Kim chi,Bánh bao,Rong Biển - Tảo Biển,Bột Các Loại,Thực Phẩm Đóng Hộp,Thực Phẩm Chay,Mì,Trứng,Đậu hũ,Thực Phẩm Đông Lạnh Khác,Cá - Bò Viên,Chả Giò,Hải Sản Đông Lạnh,Thịt Đông Lạnh,Sữa tươi,Sữa Hạt - Sữa Đậu,Bơ Sữa - Phô Mai,Sữa Chua - Váng Sữa,Sữa đặc,Sữa Bột,Sữa Bột - Sữa Dinh Dưỡng,Trái cây tươi,"Củ, Quả",Rau Lá,Cháo,Miến - Hủ Tíu - Bánh Canh,Phở - Bún,Bánh Xốp - Bánh Quy,Kẹo - Chocolate,Bánh Snack,Hạt - Trái Cây Sấy Khô,other_food_average
2026-01-20,1.075359186804208,1.255506435410141,1.1150994460575272,,,0.857102878251369,0.9550769091170526,0.8718004091978139,,1.024724865542478,0.9917410431240612,0.9624685377657985,1.0110729336711468,0.9654568850008082,0.9806809193622964,1.0048190976154663,1.0,0.9357095763249413,0.9317112612772257,0.9122679150050016,0.8993163622142477,,,0.9994261192304246,0.9553661462387534,0.9592376863955178,0.8393007727299924,,,,,,,,0.9774202448334669
2026-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22,1.0,1.0,1.004372798094958,0.852112676056338,,1.02401487296749,1.0073499720497097,1.0101286847811621,1.0,1.0122869482229226,1.0132001853145944,1.0,1.0336179368385723,1.0755006512617622,1.0431520346654213,1.0189820875119973,,0.9907403917985513,1.0,1.0102739726027397,0.9749964877249434,,,1.0278855229832766,1.0054315324907876,0.9370697271522086,0.8616257291305918,,,,,,,,0.9957714005064359
2026-01-23,1.0196609151799119,0.9603792233897813,1.0068946028668289,0.9841237268157291,1.0,1.025885883955249,1.0104088908805235,0.9954886686841466,1.0,1.0098175400109848,1.0116454842677778,1.0,1.0209789016483446,1.000875185508487,1.0121436951360319,1.0176979051716402,1.0,1.0064591359598656,0.9978653218183295,1.0090289373777377,1.008101038805136,1.0019551928708117,0.985697912161268,1.0278855229832766,0.9528094136941849,0.9723375749076345,0.8817521406984384,,,,,,,,0.997033067214523
2026-01-24,1.1549588086528348,1.110349815296408,1.0612033189174868,0.852112676056338,,1.0246077506063398,1.0073499720497097,0.986199930844225,1.0,1.004748830082773,1.0,1.0,1.0209789016483446,1.000875185508487,1.0115885232174686,1.0184744446457503,1.0,0.9751776707353856,1.0,,0.9627301586979895,,,1.025547785193983,0.9570956068114674,0.9724674905136113,0.8873178057697734,,,,,,,,1.0014688989238425
2026-01-25,1.0091050618691608,1.0867335332210946,1.0045190172431104,0.9801941996896654,1.0,,,,,,,,,,,,,1.007889071037033,0.9978934742478835,1.0120007762310244,1.0081454106413819,1.0019551928708117,0.9981738840381804,,0.95958839143938,0.9705528904485321,0.8648890012678182,,,,,,,,0.9929742788746483
2026-01-26,1.0,1.0,0.9915186610838638,0.852112676056338,0.9487179487179487,1.030074041047183,1.0073499720497097,1.0001086141399824,1.0,1.004748830082773,1.0,1.0,1.1390876717783818,1.2440333788202982,1.086498152709625,1.0416337339754536,,1.0503469389646254,1.0525165715602558,1.1373828546881155,1.1096100026122622,1.0317460317460319,1.070031793340417,1.0295498548256616,0.9653225683561757,0.971794440988327,0.8929706424707056,,,,,,,,1.0252752069236206
2026-01-27,1.0112121477038178,1.1155473899160098,1.0046651315027892,0.9801941996896654,0.9925076750974143,1.030074041047183,1.0104088908805235,1.010975966925869,1.0,1.0122869482229226,0.9836760730953793,1.0,1.0220134467034143,1.000875185508487,1.0145323778625168,1.0224070821070554,1.0,0.9533876359112528,0.9370928549606079,0.9122679150050016,0.893278732357718,,0.8945086705202312,1.0295498548256616,0.8769248820644865,0.7028112449799196,0.9454577797368168,,,,,,,,0.9752560048701824
2026-01-28,0.9980715355322699,1.0,0.9908432549379069,0.9480523999920089,0.9912644232406512,1.030074041047183,1.0073499720497097,1.0112159080831973,1.0,1.0122869482229226,0.9836760730953793,1.0,1.0074315820237834,0.9321069967954638,1.0408577238618122,1.021113326313408,,0.9920806976669407,0.9804025449723354,1.0041414958532102,1.0112381560149957,1.0044746304666294,0.9643782463299579,1.0208709917412007,0.9650980558008131,0.9750226143892555,0.8834919883175083,,,,,,,,0.9913670617980208
2026-01-29,1.0173611508456537,1.0570171785911717,1.0045909120801653,0.9684995096816799,0.9912644232406512,1.0308187442248704,1.0073499720497097,1.0112159080831973,1.0,1.004748830082773,1.0018275535153611,1.0,1.0097898520593949,0.9190918638588271,1.032554765593412,1.00964394212541,,1.0062686426236183,0.9977637842164008,1.01534857315356,1.0102770428561711,1.0020856749006357,0.983166519356506,1.0488043494833377,0.96250730063683,0.973507929526288,0.8926592938350635,,,,,,,,0.9983909121777188
2026-01-30,0.9337618877923057,,1.008417307714761,0.852112676056338,1.0,,,,,1.0098175400109848,1.0018275535153611,1.0056625551540543,1.0080804107034793,1.0,1.032554765593412,1.0091057358392248,,1.0003453309191475,1.0,1.0051238593341318,0.9627301586979895,1.0317460317460319,,1.0397569861056808,0.971463454945252,0.9488514735688176,0.9466244257370767,,,,,,,,0.9883991076717024
2026-01-31,1.1467137913882859,1.2731491770424888,1.0785380948975227,0.852112676056338,1.0,1.0293644762813754,1.008598849500861,1.0078425846117174,1.0,1.0122869482229226,1.0036584469825736,1.0063726253719438,1.020497255385583,0.9884371205787044,1.0180457325944203,1.0193222544078009,0.9865670013938879,1.0496722584356992,1.0525165715602558,1.1396515796781783,1.1277782703336343,1.0317460317460319,1.0516273978906254,1.0295498548256616,0.9767024140200047,0.9569961292379296,0.9274195175704405,,,,,,,,1.029450631852403
2026-02-01,,,,,,1.0293644762813754,0.9955444458398044,1.00591980451137,1.0,,,,1.1124334341564985,1.2440333788202982,1.116962663672342,1.0275667057900484,,1.050662385963471,1.1889234088524123,1.256855575868373,1.2332731119968423,,,1.0155115494239924,,,,,,,,,,,1.0982346877828328
2026-02-02,1.012302874209575,1.1283391232437563,1.0176351795377419,0.9801941996896654,1.0,0.9826885562558078,0.989498458759616,0.9732851142864174,,,1.0016868539752646,1.0063726253719438,1.020497255385583,1.0009299100277376,1.0165901672535638,1.02578468838367,1.0,0.9896560862438777,0.9947109183580038,1.0122556852998645,1.0090618358871304,1.0019551928708117,0.9574076348000142,1.0155115494239924,0.9755669166410215,0.9579602261902647,0.9205711257405087,,,,,,,,0.9996184871134334
2026-02-03,0.8942197394858186,1.0,0.8624273304568248,0.8258576175696198,,1.0033381872358769,0.9876670573621646,0.9617495637032553,1.0,,0.9882997922094718,1.0,0.9627202021655832,0.8563516031201978,0.9203879131803043,1.0,,0.8640979195374592,0.8860657029112908,,0.8682242221747687,,,1.0167281121750773,0.951920519512876,0.928206496018397,0.8955556439382674,,,,,,,,0.936848458226536
2026-02-04,,,,,,0.9436557099646932,0.9019081820562754,0.7987852838683224,,,,,0.9854727144139885,0.9515978740065268,0.9299820013451787,1.0270971680697,,,,,,,,1.0133350411751212,0.9661932923565025,0.9301630890287905,0.902165891490264,,,,,,,,0.9409414770704877
2026-02-05,1.0019183638693927,1.0276792361858202,0.9803196192919277,0.9686962508014989,1.0263711838229528,0.9765689714377117,0.9071870930038181,0.9261608290354101,,,0.998183989870079,1.0056625551540543,1.0018968916880986,1.0160112760060915,0.9874402334375304,1.022332423940242,1.0,1.0400424570366653,1.0504937519258608,1.0980596434212244,1.02845213430767,1.0797195704417064,1.0962264150943397,1.0119230195329632,0.9761929515788557,0.9449797484676606,0.8727248013160908,,,,,,,,1.0018097364267065
2026-02-06,1.0326048104859549,1.051864420187836,0.9974260282710669,0.9576777604175027,1.0263711838229528,1.05483008995246,1.0561117223288758,1.1016574968612158,,,0.9789197982534406,1.0523004128269595,1.010194506567966,1.0160112760060915,0.995830274341265,1.0346904903133052,1.0,1.0138058877642677,1.0032176710770802,1.0193333557752922,1.029871705130201,1.0137440941846838,1.0203898094843207,1.0175500136740083,0.9792266462213268,0.9571853642371528,0.8987355895606689,,,,,,,,1.0127820163098358
2026-02-07,1.0018452518476568,1.0,0.9729322797278109,0.9473800884693186,1.0187663868171901,,0.9424460431654677,1.1766518236204921,,,1.0105022930100611,1.0404466072860938,0.975744713310104,0.986857070016521,0.998874080372005,1.023016709243314,1.0,0.9983454445266402,0.9792364766203999,0.9833808766068355,0.9990486202554822,0.9992205679308934,1.0099328652247186,1.0218794122947188,0.9867839358319321,0.9556228019504199,0.9062279955353859,,,,,,,,0.9972975976526443
2026-02-08,0.946484826379689,0.7169811320754716,0.9269561683880604,0.9873891549730511,,1.0062714872942353,0.9424460431654677,1.1766518236204921,,,1.0105022930100611,1.0404466072860938,0.9706757728697525,1.0,0.9857321534942879,1.01358985618674,1.0,1.0150612479544097,0.9943975386866605,,0.9591620465255822,,,1.0083043780316023,1.0025426250439737,0.9389481212027726,0.9265080155800813,,,,,,,,0.9794786329413564
2026-02-09,0.8230298329165051,0.7169811320754716,0.8147684943239347,0.974937343358396,,0.8090088504416983,0.8596796644180115,0.8800817491741264,,,0.974757385530792,1.0523004128269595,0.9629287741987291,1.0,0.942700374619378,1.015644202674773,,0.9167672367136233,0.9381644220645098,0.85182680016861,0.9161876236903242,,,1.0097769990071346,0.9765974463467653,0.9340465409492387,0.9265080155800813,,,,,,,,0.9188901571942412
2026-02-10,0.9574618601947442,0.7169811320754716,0.8904527670650254,0.9873891549730511,,0.8090088504416983,0.8596796644180115,0.8310795062267727,,,0.9685469281169012,1.0456161275755163,0.9496201236102197,1.0,0.953324518935445,1.0040303722692137,,0.9167672367136233,0.9381644220645098,0.85182680016861,0.9161876236903242,,,1.0083043780316023,0.9503581684905262,0.8988242209941169,0.9375853916974669,,,,,,,,0.9233909165596594
2026-02-11,1.0324244585920475,0.9287324198473228,0.9828336029821926,0.9963805555700385,1.0219281804433142,0.9735572821642429,0.9382806567093239,0.9531360263835676,1.0,,1.0114624989307424,1.0404466072860938,0.9738040468860611,1.0,0.9729380564816008,1.0038380819551354,1.0,1.002129757537495,0.9806697144283072,0.9864290305267718,0.9997347546574668,0.9992692646320255,1.0124453042917458,1.0110878009016824,0.9837235979170053,0.9387741039190353,0.9094204324126486,,,,,,,,0.9866710090559949
2026-02-12,1.0307441930874504,0.9201887762089984,0.9756317743214491,0.9957785897622266,1.0219281804433142,1.0052235146930244,0.9424460431654677,1.1333333333333333,,,1.0096905230892343,1.0404466072860938,0.8926850214983227,1.0,0.919127171604202,0.9953257172446022,,1.0,0.9851297664471786,,1.0,,,0.981647644348721,1.00962851488966,0.949462599346184,0.9511887685926083,,,,,,,,0.9885527018743843
2026-02-13,0.8939165274178946,0.7169811320754716,0.8683893453628646,,,0.8090088504416983,0.8596796644180115,0.8310795062267727,,,1.0368341216065047,1.0523004128269595,0.8926850214983227,1.0,0.919127171604202,0.9953257172446022,,0.884971822849819,0.9524347917732646,0.8335106382978723,0.8785707376889668,,,1.0404774944343518,0.9634050831420143,0.822146279762569,0.9823394561621854,,,,,,,,0.9116591887417174
2026-02-14,0.9667556282785207,0.7169811320754716,0.973508168568323,1.0,1.0330719339332912,0.9413336101917398,0.8803705907548802,0.8831650583619727,,,1.0431037210611471,1.0523004128269595,0.9855545805667015,1.0,1.0059562573654184,1.0038380819551354,1.0,1.0023953370109306,0.9816710863353537,0.9812494570459771,0.9974062859346162,1.0,1.0070848788153741,1.0078686476615952,0.9659760193485482,0.9566286989489607,0.9846776072369517,,,,,,,,0.9748358877711147
2026-02-15,1.027449863046653,0.9201887762089984,0.9889329016317757,1.0,1.0330719339332912,1.003915083592151,0.9695680177456457,0.9933600754459969,,,1.0114624989307424,1.0404466072860938,0.9804983105795134,1.0,0.982973696834655,1.0040303722692137,1.0,1.009280689484977,0.9927752766186481,,1.0269264811014642,0.9883720930232558,,1.0103912256706324,0.9739672569811537,0.9438649051314815,0.9633358366561902,,,,,,,,0.9941222566161971
2026-02-16,1.0280299641159316,0.895026530668225,1.0190620880996373,1.0,1.044337205984183,0.9892653616077364,0.9541433218014904,0.9649277730424809,1.0,,1.0114624989307424,1.0456161275755163,0.9771638111255725,1.0,0.982973696834655,1.0040303722692137,1.0,1.0100344450135694,0.9816506973479132,0.9815926972759339,0.9994315728269222,0.9992205679308934,1.0061965311624632,1.0078686476615952,0.9610933784372213,0.9620504599495108,0.9751555563461415,,,,,,,,0.9923205117695211
2026-02-17,1.0312977566165624,0.895026530668225,0.9973185493236036,1.0,1.044337205984183,0.9887035835522084,0.9488885730765533,0.9667015205905173,1.0,,1.0114624989307424,1.0456161275755163,0.9771638111255725,1.0,0.980989757399362,1.015644202674773,1.0,1.015185364006387,0.992767899852521,0.9924799017415388,1.0127688941864907,0.9990258048562372,1.0099328652247186,1.0128044942485999,0.9863163883230956,0.9681203032820569,0.9636035215014834,,,,,,,,0.9944675213361903
2026-02-18,1.0315294131568356,0.8671110888821326,0.9835154461423091,1.0,1.0,1.002608355587078,0.9695680177456457,0.9886350065832936,,1.0,,,1.1223999159903462,,1.0253631125742217,1.053105739357663,,1.0114385383015347,0.9797388861816461,0.9861820604940302,1.002118399188933,0.9992205679308934,1.0099328652247186,1.0128044942485999,1.002703894658033,0.9705830800976318,0.9637781386468727,1.0,1.125314026523911,,,,,,1.0044854603131803
2026-02-19,,,,,,0.9942905779181287,0.9541433218014904,0.9680386823705469,1.0,1.0,0.9968765396302718,1.0456161275755163,0.9765001120547907,1.0,0.9749565791689425,1.0164743280541624,1.0,,,,,,,1.0097769990071346,,,,1.0,,,,,,,0.9954766619700705
2026-02-20,1.015048205414081,0.8190391023141599,0.9913404982852271,1.083306844346635,1.044337205984183,1.242537313432836,1.0958119485464946,1.085799803898933,,0.9974968671630001,1.0051139985930209,1.0456161275755163,0.9944000584891751,1.0429681244372113,0.9874142521311876,1.0235559289947198,1.0,1.09889595674632,1.0704733088896983,1.1509392947076738,1.1138855596084092,,,1.0313262958091554,0.9227793903342073,0.848742176333016,0.9592096033491031,1.0,1.0,1.116926475859198,,,,,1.0291468274534505
2026-02-21,0.9930785666362483,0.8671110888821326,0.9858819212411325,1.023125705664418,1.0330719339332912,1.0182369956935071,1.043580672350443,0.9936362488706647,1.0,0.9987476493904754,1.0165948195255512,1.01021567703907,0.9813661199509645,1.0305065100145838,0.9401256583850398,1.0073552931297738,1.0,1.0477318850147332,1.042536401797231,1.156186612576065,1.1396922009609556,,,1.0136688168302102,0.9893403716104043,0.962959716749861,0.9542864659273493,1.0,,1.116926475859198,,,,,1.0135542151123444
2026-02-22,1.0324596093655458,,1.0070405894171495,1.1735537190082646,1.138996138996139,0.9942978757808376,0.9875921905677442,0.9691411913011443,1.0,0.9987476493904754,0.9935153707130124,1.008505845606239,0.9838474287210627,1.0305065100145838,0.9618418682379081,1.0069668271446794,1.0,1.0159453455915566,1.006986594821971,,1.0,,,0.9977229357706701,1.023424179050302,0.9709105391437857,0.9542864659273493,1.0,,,,,,,1.010678703107101
2026-02-23,0.9914758091209289,0.8827046158898443,0.9782604706307991,1.027031653710597,1.0,0.9602748344853459,0.9323154599230872,0.9889607233134546,,0.9989979939789199,0.9841478182249358,1.008505845606239,0.9853991101281296,1.0305065100145838,0.9618418682379081,1.0063012339474657,1.0,0.9475910475914354,0.9324593681315924,0.8658648175015993,0.8643380533195135,,,0.9977229357706701,0.9942890999684723,0.9618128551247674,0.9678153252167023,1.0,,1.116926475859198,,,,,0.976367074065238
2026-02-24,0.9803460975291646,0.9198001814031661,0.9817686467615334,0.9910980351757596,1.0263711838229528,0.9520697952090007,0.9486140038820821,0.982665230748564,1.0,1.0145911915964363,0.981903828034156,1.0056625551540543,0.979636688598288,1.0305065100145838,0.9771984397925401,0.9995927748795504,1.0,1.0141611583028913,1.042536401797231,1.156186612576065,1.0212119024701014,,,0.9666554609141904,0.9360684418660116,0.8816633504631028,0.9558864630874636,1.0,,1.116926475859198,,,,,0.9949304233310404
2026-02-25,0.9867702818680998,1.031192580598059,1.0113159722615914,1.027031653710597,1.044337205984183,,,,,,,,,,,,,0.9960726992765767,1.0216481944655673,1.0115266538683274,0.9819500479810546,1.0051851411010457,1.0391667670087759,,0.9772500482283804,0.9696564631232755,0.9703515305868394,,,,,,,,1.005246802861598
2026-02-26,1.057493906980693,1.2785515320334262,1.0058396809198276,1.1735537190082646,1.138996138996139,0.9834186649970603,0.9656566862346804,0.9827828012920276,1.0,1.0145911915964363,1.0,1.0063726253719438,1.0108193514376196,1.0305065100145838,1.0179626943405926,0.9995927748795504,1.0,0.9960726992765767,1.0211273548019069,1.0029962803870378,0.9852864307844854,1.00481388390904,1.034188235706946,0.9853193891421677,0.9669941959364892,0.9737537044396483,0.9703515305868394,1.0,,,,,,,1.0216800708240708
2026-02-27,0.9818926043493251,0.958216739926594,1.0081830628546968,1.023125705664418,1.0330719339332912,0.9834186649970603,0.9656566862346804,0.9797047362364625,1.0,1.0182721349898949,1.0207863765555814,1.008505845606239,1.0108193514376196,1.0390944750352518,1.016056789584801,0.9911670523681174,1.0,1.0322600445747852,1.1109130625847696,1.098657713550611,1.0751621081229408,,1.1179321486268174,0.9853193891421677,1.0620224097913475,,0.9600046142271808,1.0,,1.116926475859198,,,,,1.022117412083476
2026-02-28,1.0186895081848013,1.0,1.010080951563899,1.0547940177235235,1.0330719339332912,0.9834186649970603,0.9656566862346804,0.9797047362364625,1.0,1.0182721349898949,1.0207863765555814,1.01021567703907,1.0168198101959738,1.0880305215644912,1.0,0.9994969813068484,,0.9405386287247665,,,0.9379047038692375,,,0.9952074286897981,0.9566733174714102,0.9842213927615688,0.956599851525552,1.0,,1.116926475859198,,,,,1.0036295749761297
2026-03-01,0.9753912009800907,0.9989645479047358,0.9992215628912524,1.027031653710597,1.044337205984183,0.9838011369927705,0.9656566862346804,0.9848878006639028,1.0,,0.9995711623121598,1.0,1.010160313604021,1.0642604705497285,1.0118136336535752,0.9930805975245413,1.0,0.9988822825648425,1.0163099267055007,1.0015673723003742,0.9839244148355665,1.0044922385933708,1.0458421097437778,0.9853193891421677,0.9895152936648443,0.9868039915963122,0.9654834375825925,,,,,,,,1.001396862682138
2026-03-02,0.9830109502977525,1.0326567682627452,1.0011758239484627,1.0,1.044337205984183,1.001978570521894,0.9987293504882382,1.0171560697581772,,,0.9995711623121598,1.0,1.010160313604021,1.0642604705497285,1.0106825385875557,0.9927672193434885,1.0,0.9940511941986727,1.0184177434600798,0.9980731380082969,0.9779239216021057,1.0044922385933708,1.0552596907949319,0.964132912818848,0.9998797079375674,0.9921219535543706,0.9702634692550657,,,,0.9799836877131618,0.9314739549168587,0.9428407595520415,0.9791335887066451,0.9987770484403595
2026-03-03,1.1182933633012906,1.3563342110757313,1.1310811175407587,1.1735537190082646,,1.0178317042639557,1.0082270986741375,1.0098425473272703,1.0961887477313974,,1.0155084196581587,1.0,1.0640634197910657,1.0,1.0579425667282787,1.011053202519152,,1.0077824141681293,1.0,,1.0,,,0.9781231945267976,1.0185489427311714,1.017762495884645,1.0,,,,1.3478610257475898,1.1398908999254986,1.2453488673849067,1.221777681342371,1.0814806255732228
2026-03-04,0.98341328391543,1.0770253714787519,1.0117888934154244,1.0,1.049870184749229,0.9966413705444737,1.0,1.0,,,1.025896304910234,1.0,1.02900769285847,1.0508640543612031,1.0611559591071855,0.9917714404664904,,1.0,1.0883234613967014,,1.1494469170136432,,,0.9889417949127611,0.9834947894576858,1.0218487675320733,1.0,,,,1.2644586583694322,1.1004867724462248,1.1098894220825095,1.2104081058454519,1.047789329794535
2026-03-05,0.8513336354031134,1.118421052631579,1.000828107650522,1.0,1.075730305020587,0.9987773726323395,1.0,1.0138589893361343,,,1.0107097238506624,1.0,1.025059230881979,1.0,1.0149772359884908,1.0,1.0141381145033208,0.9418367522218092,0.9512806465897936,0.9155870648230697,0.8950447183755201,,0.9139414802065404,0.9900420902036007,0.9835005119324393,1.0128031852793102,1.0,,,,0.9942442719486964,1.0204360252878575,0.9755904734116947,1.0407037362009515,0.9913873115850004
2026-03-06,0.8968093050561701,1.118421052631579,1.0132167419776397,1.0656793856370101,1.075730305020587,1.0036134168271966,0.9934219073575423,1.0051917266450277,1.096481431566408,,1.0184296785990476,1.0,1.0290579251777994,0.9989137574414908,1.0209929094901418,1.0,1.0141381145033208,0.9956306588300279,1.0207735364930237,0.9992958044700437,0.9973944724820443,1.0001455099577758,0.9888144369091881,0.9900420902036007,0.9664771851846754,1.0102799026671019,0.9931599810290206,,,,0.9736601692478285,1.0071442787148621,0.9156889688619202,0.8911182466278036,1.0033240966536627
2026-03-07,1.0116028557119492,1.0971950088020752,1.0295207386468892,1.1088979757217903,1.037174192226449,1.0036996095131692,0.9934219073575423,1.0050916320059693,1.096481431566408,,1.0107097238506624,1.0,0.9966888111259495,0.8996527107723291,0.8972121172192947,1.0,,0.9517867512115288,0.9572383260438837,0.9229403774273978,0.9030410993333274,0.9571428571428572,,0.9880072292168651,0.9759229723180896,1.0121502065002266,0.9940124182119185,,,,0.999364118913843,1.0221510641398517,0.9769823784880755,1.0366933107301486,0.9958850651499461
2026-03-08,1.0,1.118421052631579,1.026519737668981,1.0,,1.0013900297867695,0.9906159877539521,1.0103897059324354,1.0961887477313974,,1.0161075211279298,1.0,1.0364533917708496,1.0,1.026884798633718,1.0,1.0,1.0,1.0,,1.0,,,0.9895207451812655,0.9098730884881072,1.0846571529924698,1.0,,,,,1.372,1.0676923076923077,,1.0311130944746567
2026-03-09,1.2514285714285713,1.203836887340186,1.1889371807403935,,,0.9955243360199382,1.0,1.0,,,1.0324744944927464,1.0,1.0445522368498823,1.0,1.051698555137276,1.0,,1.0522067017824746,1.0985614762872145,1.1739475675126219,1.162068140590912,,,0.9875681452397187,0.9805124591954106,1.0509527687175164,1.0,,,,,1.372,1.0676923076923077,,1.0779073558648715
2026-03-10,1.0,1.118421052631579,1.072225261135123,1.0,,0.9955243360199382,1.0,1.0578760601761434,,,1.0416867455462615,1.0,1.0416076740525946,1.0,1.0131701923965353,1.0136223280759797,,1.021181797456416,1.0272908150526956,1.1487050960735172,1.1417956550802941,,,0.9889417949127611,1.0523946770797683,1.1348711821274753,1.0,,,,1.0456452892842785,1.0974834356491248,1.0020649470115708,1.2211564686203729,1.049426592335297
2026-03-11,0.8513336354031134,1.118421052631579,1.0198840405360918,1.0,,0.9946953268506575,1.0,1.0101843197406613,1.0961887477313974,,1.020630562714179,1.0,1.03084590552098,1.0,1.0341753568502832,1.012146844134606,1.0,0.9960489705511724,1.0162892717823928,1.0014855178449253,1.0030787228062548,1.0001364149651397,0.9900510728952184,0.9858048274709282,1.0054128073392217,1.0186684848491367,1.0103675160202337,,,,,1.3040968229686323,1.0676923076923077,,1.0217643899740412
2026-03-12,0.9660769818162167,1.0457843379128855,1.031012464079667,1.0770327002840052,1.0684633849933138,1.0020740261086714,1.0,1.0124163564204982,,,0.9971553777958598,1.0,1.110317026337443,1.0,1.106247389197696,1.0211307427417473,,1.0,1.0,,1.0,,,1.0166306427806728,0.9740472753506468,1.0316739097889314,0.9897928765735191,,,,,1.3040968229686323,1.0676923076923077,,1.0357236792540312
2026-03-13,1.0,1.118421052631579,1.1269374966435388,,,,1.0,1.0678426284548994,,,1.0006624805213495,1.0,1.110317026337443,1.0,1.0339761838568386,1.0211307427417473,,1.0,1.0,,1.0,,,0.973805603169503,1.0483584902375314,1.1348711821274753,1.0000416571211046,,,,1.0042286903931463,1.061486917396311,0.9906082536560535,1.0,1.0314858366040236
