date,Gạo - Nông Sản Khô,Ngũ Cốc - Yến Mạch
2025-12-18,,
2025-12-19,,
2025-12-20,,
2025-12-22,,
2025-12-23,,
2025-12-24,,
2025-12-25,,
2025-12-26,,
2025-12-27,,
2025-12-28,,
2025-12-29,,
2025-12-31,,
2026-01-01,,
2026-01-02,,
2026-01-03,,
2026-01-04,,
2026-01-05,,
2026-01-06,,
2026-01-07,,
2026-01-08,,
2026-01-09,,
2026-01-10,,
2026-01-11,,
2026-01-12,,
2026-01-13,,
2026-01-14,,
2026-01-15,,
2026-01-16,,
2026-01-17,,
2026-01-18,0.9349942033688754,0.7879472436498105
2026-01-19,0.9928484581357797,0.9924283926556702
2026-01-20,0.8994770550524405,0.856610537654778
2026-01-21,,
2026-01-22,0.9741878830814468,0.9993123516581035
2026-01-23,0.9628658396137733,0.9993435981401262
2026-01-24,0.9765066455762658,0.9993435981401262
2026-01-26,0.9765066455762658,0.9993435981401262
2026-01-27,0.9765066455762658,0.9993435981401262
2026-01-28,0.9765066455762658,0.9993435981401262
2026-01-29,0.9765066455762658,0.9993435981401262
2026-01-30,,
2026-01-31,0.9765066455762658,0.9992779816562939
2026-02-01,0.9765066455762658,0.9992779816562939
2026-02-02,0.9332428766578766,0.9438118208049343
2026-02-03,0.9502036435641003,0.9330532666442962
2026-02-04,0.9065548970782239,0.7347631693661534
2026-02-05,0.9080258134248824,0.7879097523379104
2026-02-06,1.0287615993967651,1.210788631195512
2026-02-07,0.9943912538817893,1.1889707666813962
2026-02-08,0.9967911398908992,1.1889707666813962
2026-02-09,0.9078613565220088,0.8048952937005778
2026-02-10,0.9078613565220088,0.8048952937005778
2026-02-11,0.9720047295643154,0.9513574968318148
2026-02-12,0.9967911398908992,0.9898648648648649
2026-02-13,0.9078613565220088,0.8048952937005778
2026-02-14,0.9528175882728073,0.8048952937005778
2026-02-15,0.9977527152552511,1.145707980957075
2026-02-16,0.9766155802300719,0.9798891903790456
2026-02-17,0.9752571818375414,0.9798891903790456
2026-02-18,0.9977527152552511,1.1889707666813962
2026-02-19,0.9766155802300719,0.9897098613614523
2026-02-20,1.0,1.2139647809585576
2026-02-21,1.0,1.0808558172278135
2026-02-22,0.997821004214384,0.9731390316300774
2026-02-23,0.9956467564514018,0.7863332887217059
2026-02-24,1.004488118159403,0.8965115209360737
2026-02-25,,
2026-02-26,1.0359882828660874,0.9891997411602442
2026-02-27,1.0359882828660874,0.9891997411602442
